county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.6,9.3,172.21,Low,2022-09-29
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,10.2,0.7,254.13,High,2022-09-29
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.8,9.2,175.35,Low,2022-09-29
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.3,6.8,195.41,Low,2022-09-29
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.8,9.2,190.41,Low,2022-09-29
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.0,9.5,175.56,Low,2022-09-29
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.6,9.3,187.92,Low,2022-09-29
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.8,9.2,200.24,Medium,2022-09-29
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.7,12.7,114.08,Medium,2022-09-29
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,9.1,135.08,Low,2022-09-29
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.0,12.3,168.23,Medium,2022-09-29
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.3,179.53,Medium,2022-09-29
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,9.1,163.39,Low,2022-09-29
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.3,218.26,High,2022-09-29
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.3,198.83,Medium,2022-09-29
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.0,12.3,195.66,Medium,2022-09-29
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.8,9.2,182.10,Low,2022-09-29
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.8,13.5,172.18,Medium,2022-10-06
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.3,9.5,174.53,Low,2022-10-06
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.5,150.53,Medium,2022-10-06
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.3,9.5,146.05,Low,2022-10-06
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.2,11.2,150.05,Medium,2022-10-06
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.4,0.0,199.30,Low,2022-10-06
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.1,11.2,156.20,Medium,2022-10-06
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.1,10.3,190.24,Medium,2022-10-06
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.1,11.2,180.11,Medium,2022-10-06
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.3,9.5,168.19,Low,2022-10-06
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.2,11.2,177.24,Medium,2022-10-06
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.1,11.2,183.34,Medium,2022-10-06
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.5,172.45,Medium,2022-10-06
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.5,154.40,Medium,2022-10-06
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.7,11.6,179.68,Medium,2022-10-06
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.1,11.2,163.86,Medium,2022-10-06
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.8,13.5,179.27,Medium,2022-10-06
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.7,11.3,134.28,Medium,2022-10-06
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.7,11.6,157.89,Medium,2022-10-06
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.5,133.04,Medium,2022-10-06
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.7,11.3,146.29,Medium,2022-10-06
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.3,13.2,109.74,Medium,2022-10-13
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.9,12.2,168.05,Medium,2022-10-13
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.7,13.5,150.45,Medium,2022-10-13
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.5,128.24,Medium,2022-10-13
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.9,12.2,132.05,Medium,2022-10-13
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.5,146.63,Medium,2022-10-13
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.5,143.94,Medium,2022-10-13
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.7,13.5,161.89,Medium,2022-10-13
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.8,11.6,153.22,Medium,2022-10-13
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.3,13.2,138.05,Medium,2022-10-13
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.3,9.6,152.65,Low,2022-10-13
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,16.5,145.73,Medium,2022-10-13
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.3,9.6,127.60,Low,2022-10-13
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.1,15.2,157.16,Medium,2022-10-13
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.5,0.0,157.83,Low,2022-10-13
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.8,11.6,136.93,Medium,2022-10-13
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.8,8.4,149.14,Low,2022-10-13
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.8,11.6,155.87,Medium,2022-10-13
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.3,9.6,131.92,Low,2022-10-13
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.1,15.2,186.49,Medium,2022-10-13
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.8,11.6,134.45,Medium,2022-10-13
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.6,13.5,115.30,Medium,2022-11-24
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.9,9.9,167.24,Low,2022-11-24
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,16.2,94.30,Medium,2022-11-24
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.9,9.9,157.65,Low,2022-11-24
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.3,8.5,101.45,Low,2022-11-24
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,4.8,14.7,115.70,Medium,2022-11-24
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.5,146.44,Medium,2022-11-24
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.8,8.4,88.18,Low,2022-11-24
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.5,122.54,Medium,2022-11-24
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.9,9.9,130.72,Low,2022-11-24
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.3,8.5,111.75,Low,2022-11-24
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.5,123.13,Medium,2022-11-24
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,16.2,105.76,Medium,2022-11-24
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,16.2,111.56,Medium,2022-11-24
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.9,13.1,121.21,Medium,2022-11-24
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,10.5,99.11,Medium,2022-11-24
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.6,13.5,108.65,Medium,2022-11-24
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,10.5,108.55,Medium,2022-11-24
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.9,13.1,130.74,Medium,2022-11-24
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,16.2,67.32,Medium,2022-11-24
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,10.5,152.94,Medium,2022-11-24
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.8,16.6,103.16,Medium,2022-10-20
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.0,11.3,174.10,Medium,2022-10-20
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,15.6,110.75,Medium,2022-10-20
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.0,11.3,154.08,Medium,2022-10-20
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.4,11.9,142.12,Medium,2022-10-20
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.8,16.6,103.22,Medium,2022-10-20
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,7.6,15.2,144.73,Medium,2022-10-20
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.1,13.8,141.08,Medium,2022-10-20
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,15.6,91.37,Medium,2022-10-20
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,7.6,15.2,170.99,Medium,2022-10-20
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.0,0.0,119.71,Low,2022-10-20
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.1,12.2,147.06,Medium,2022-10-20
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.3,9.0,112.67,Low,2022-10-20
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.1,12.2,147.99,Medium,2022-10-20
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.0,11.3,140.49,Medium,2022-10-20
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.4,11.9,157.31,Medium,2022-10-20
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.1,12.2,127.80,Medium,2022-10-20
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,15.6,126.64,Medium,2022-10-20
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,15.6,129.13,Medium,2022-10-20
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.1,13.8,135.87,Medium,2022-10-20
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.1,12.2,143.49,Medium,2022-10-20
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.9,12.1,109.99,Medium,2022-10-27
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.1,10.3,145.78,Medium,2022-10-27
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,15.5,89.50,Medium,2022-10-27
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.1,10.3,110.65,Medium,2022-10-27
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.2,14.4,133.58,Medium,2022-10-27
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.4,11.4,115.03,Medium,2022-10-27
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.4,12.2,137.93,Medium,2022-10-27
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.7,6.8,95.26,Low,2022-10-27
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.4,12.2,130.41,Medium,2022-10-27
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.1,10.3,131.12,Medium,2022-10-27
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.2,14.4,160.87,Medium,2022-10-27
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.4,12.2,126.54,Medium,2022-10-27
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.9,12.1,121.69,Medium,2022-10-27
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,6.5,11.8,104.53,Medium,2022-10-27
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.2,15.3,142.21,Medium,2022-10-27
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,15.5,107.40,Medium,2022-10-27
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,6.5,11.8,157.69,Medium,2022-10-27
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,15.5,121.70,Medium,2022-10-27
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,15.5,119.85,Medium,2022-10-27
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.2,15.3,155.64,Medium,2022-10-27
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.4,12.2,119.78,Medium,2022-10-27
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,5.5,14.7,109.01,Medium,2022-11-03
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.5,10.3,223.16,High,2022-11-03
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.8,5.7,117.30,Low,2022-11-03
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.5,10.3,142.66,Medium,2022-11-03
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.0,10.9,167.19,Medium,2022-11-03
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.3,14.9,165.85,Medium,2022-11-03
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.5,10.3,236.91,High,2022-11-03
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.1,17.2,113.84,Medium,2022-11-03
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.1,17.2,131.70,Medium,2022-11-03
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.3,15.2,171.28,Medium,2022-11-03
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.5,10.3,175.72,Medium,2022-11-03
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.2,18.8,116.05,Medium,2022-11-03
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.0,10.9,189.34,Medium,2022-11-03
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.1,17.2,110.41,Medium,2022-11-03
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.0,10.9,162.11,Medium,2022-11-03
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.3,14.9,161.43,Medium,2022-11-03
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.2,18.8,132.55,Medium,2022-11-03
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,10.0,139.10,Medium,2022-11-03
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.3,15.2,148.68,Medium,2022-11-03
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.1,17.2,125.03,Medium,2022-11-03
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,10.0,147.24,Medium,2022-11-03
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.3,12.4,113.02,Medium,2022-11-10
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.5,10.5,174.21,Medium,2022-11-10
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,17.4,113.84,Medium,2022-11-10
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.5,10.5,144.56,Medium,2022-11-10
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.5,12.0,138.25,Medium,2022-11-10
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.7,19.4,102.32,Medium,2022-11-10
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,12.2,147.69,Medium,2022-11-10
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.6,9.0,127.64,Low,2022-11-10
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,12.2,131.02,Medium,2022-11-10
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.5,10.5,152.04,Medium,2022-11-10
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.5,12.0,138.09,Medium,2022-11-10
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,12.2,124.38,Medium,2022-11-10
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.3,12.4,147.76,Medium,2022-11-10
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.5,10.5,105.33,Medium,2022-11-10
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.1,14.0,135.10,Medium,2022-11-10
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,17.4,91.37,Medium,2022-11-10
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.5,10.5,125.40,Medium,2022-11-10
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,17.4,116.99,Medium,2022-11-10
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,17.4,142.75,Medium,2022-11-10
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.1,14.0,138.84,Medium,2022-11-10
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,12.2,120.69,Medium,2022-11-10
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.3,15.5,99.37,Medium,2022-11-17
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.8,9.4,174.10,Low,2022-11-17
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,15.5,89.15,Medium,2022-11-17
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.8,9.4,137.12,Low,2022-11-17
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.0,10.9,107.96,Medium,2022-11-17
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.3,15.5,77.14,Medium,2022-11-17
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,9.1,127.04,Low,2022-11-17
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.9,15.0,122.50,Medium,2022-11-17
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,15.5,88.16,Medium,2022-11-17
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,9.1,106.40,Low,2022-11-17
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,5.9,19.4,82.93,Medium,2022-11-17
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.2,12.2,122.16,Medium,2022-11-17
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.5,7.6,110.77,Low,2022-11-17
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.2,12.2,127.75,Medium,2022-11-17
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.8,9.4,160.41,Low,2022-11-17
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.0,10.9,107.48,Medium,2022-11-17
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.2,12.2,90.05,Medium,2022-11-17
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,15.5,105.98,Medium,2022-11-17
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,15.5,106.23,Medium,2022-11-17
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.9,15.0,123.36,Medium,2022-11-17
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.2,12.2,92.12,Medium,2022-11-17
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.1,16.6,129.71,Medium,2022-12-01
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.9,10.3,201.67,High,2022-12-01
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,17.7,97.04,Medium,2022-12-01
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.9,10.3,173.86,Medium,2022-12-01
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.0,14.7,140.69,Medium,2022-12-01
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,4.5,12.0,80.25,Medium,2022-12-01
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.0,12.9,155.07,Medium,2022-12-01
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.8,6.8,110.23,Low,2022-12-01
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.0,12.9,145.56,Medium,2022-12-01
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.9,10.3,188.71,Medium,2022-12-01
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.0,14.7,114.60,Medium,2022-12-01
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.0,12.9,149.01,Medium,2022-12-01
